"Time","Cosmos_Bonded_Ratio{instance=""localhost:8003"", job=""cosmos"", v=""cosmos_amount_bonded_ratio""}"
2024-05-20 00:00:00,62.73%
2024-05-21 00:00:00,62.96%
2024-05-22 00:00:00,62.94%
2024-05-23 00:00:00,62.86%
2024-05-24 00:00:00,62.93%
2024-05-25 00:00:00,62.96%
2024-05-26 00:00:00,62.98%
2024-05-27 00:00:00,62.84%
2024-05-28 00:00:00,62.89%
2024-05-29 00:00:00,62.99%
2024-05-30 00:00:00,62.99%
2024-05-31 00:00:00,62.91%
2024-06-01 00:00:00,62.97%
2024-06-02 00:00:00,63.00%
2024-06-03 00:00:00,62.98%
2024-06-04 00:00:00,62.96%
2024-06-05 00:00:00,62.76%
2024-06-06 00:00:00,62.40%
2024-06-07 00:00:00,62.38%
2024-06-08 00:00:00,62.45%
2024-06-09 00:00:00,62.34%
2024-06-10 00:00:00,62.53%
2024-06-11 00:00:00,62.62%
2024-06-12 00:00:00,62.65%
2024-06-13 00:00:00,62.66%
2024-06-14 00:00:00,62.45%
2024-06-15 00:00:00,62.73%
2024-06-16 00:00:00,62.75%
2024-06-17 00:00:00,62.55%
2024-06-18 00:00:00,62.55%
2024-06-19 00:00:00,62.32%
2024-06-20 00:00:00,62.34%
2024-06-21 00:00:00,62.25%
2024-06-22 00:00:00,62.71%
2024-06-23 00:00:00,62.67%
2024-06-24 00:00:00,62.69%
2024-06-25 00:00:00,62.48%
2024-06-26 00:00:00,62.48%
2024-06-27 00:00:00,62.53%
2024-06-28 00:00:00,62.84%
2024-06-29 00:00:00,63.08%
2024-06-30 00:00:00,63.08%
2024-07-01 00:00:00,63.08%
2024-07-02 00:00:00,63.13%
2024-07-03 00:00:00,63.15%
2024-07-04 00:00:00,63.13%
2024-07-05 00:00:00,63.13%
2024-07-06 00:00:00,63.21%
2024-07-07 00:00:00,63.23%
2024-07-08 00:00:00,63.23%
2024-07-09 00:00:00,63.24%
2024-07-10 00:00:00,63.26%
2024-07-11 00:00:00,63.27%
2024-07-12 00:00:00,63.07%
2024-07-13 00:00:00,63.07%
2024-07-14 00:00:00,63.06%
2024-07-15 00:00:00,62.24%
2024-07-16 00:00:00,62.44%
2024-07-17 00:00:00,62.43%
2024-07-18 00:00:00,62.42%
2024-07-19 00:00:00,62.41%
2024-07-20 00:00:00,62.49%
2024-07-21 00:00:00,62.49%
2024-07-22 00:00:00,62.46%
2024-07-23 00:00:00,62.31%
2024-07-24 00:00:00,62.33%
2024-07-25 00:00:00,62.32%
2024-07-26 00:00:00,62.32%
2024-07-27 00:00:00,62.34%
2024-07-28 00:00:00,62.17%
2024-07-29 00:00:00,62.34%
2024-07-30 00:00:00,62.32%
2024-07-31 00:00:00,62.33%
2024-08-01 00:00:00,61.64%
2024-08-02 00:00:00,61.65%
2024-08-03 00:00:00,61.58%
2024-08-04 00:00:00,61.71%
2024-08-05 00:00:00,61.43%
2024-08-06 00:00:00,61.47%
2024-08-07 00:00:00,61.51%
2024-08-08 00:00:00,61.44%
2024-08-09 00:00:00,61.53%
2024-08-10 00:00:00,61.49%
2024-08-11 00:00:00,61.55%
2024-08-12 00:00:00,61.56%
2024-08-13 00:00:00,61.59%
2024-08-14 00:00:00,61.22%
2024-08-15 00:00:00,61.32%
2024-08-16 00:00:00,59.58%
