avg_price,time
4.963124999999986,2024-03-21 00:00:00.000 UTC
4.635173611111102,2024-03-20 00:00:00.000 UTC
4.6795138888888745,2024-03-19 00:00:00.000 UTC
5.0938888888888725,2024-03-18 00:00:00.000 UTC
5.120277777777739,2024-03-17 00:00:00.000 UTC
5.311597222222245,2024-03-16 00:00:00.000 UTC
5.429791666666687,2024-03-15 00:00:00.000 UTC
5.829965277777775,2024-03-14 00:00:00.000 UTC
6.034895833333364,2024-03-13 00:00:00.000 UTC
5.913715277777747,2024-03-12 00:00:00.000 UTC
5.778819444444447,2024-03-11 00:00:00.000 UTC
5.746354166666663,2024-03-10 00:00:00.000 UTC
5.80850694444446,2024-03-09 00:00:00.000 UTC
5.822743055555562,2024-03-08 00:00:00.000 UTC
5.716979166666681,2024-03-07 00:00:00.000 UTC
5.424201388888921,2024-03-06 00:00:00.000 UTC
5.33319444444446,2024-03-05 00:00:00.000 UTC
5.23569444444444,2024-03-04 00:00:00.000 UTC
5.180208333333312,2024-03-03 00:00:00.000 UTC
5.192777777777754,2024-03-02 00:00:00.000 UTC
5.0923263888888926,2024-03-01 00:00:00.000 UTC
5.1062847222222025,2024-02-29 00:00:00.000 UTC
4.913645833333287,2024-02-28 00:00:00.000 UTC
4.894548611111088,2024-02-27 00:00:00.000 UTC
4.762916666666688,2024-02-26 00:00:00.000 UTC
4.706944444444386,2024-02-25 00:00:00.000 UTC
4.574201388888887,2024-02-24 00:00:00.000 UTC
4.301805555555547,2024-02-23 00:00:00.000 UTC
4.241388888888941,2024-02-22 00:00:00.000 UTC
4.163020833333347,2024-02-21 00:00:00.000 UTC
4.223472222222198,2024-02-20 00:00:00.000 UTC
4.235694444444418,2024-02-19 00:00:00.000 UTC
4.108749999999974,2024-02-18 00:00:00.000 UTC
4.00899305555554,2024-02-17 00:00:00.000 UTC
4.031909722222229,2024-02-16 00:00:00.000 UTC
4.014791666666707,2024-02-15 00:00:00.000 UTC
3.9380555555554886,2024-02-14 00:00:00.000 UTC
3.8959375000000125,2024-02-13 00:00:00.000 UTC
3.810694444444405,2024-02-12 00:00:00.000 UTC
3.810451388888946,2024-02-11 00:00:00.000 UTC
3.773333333333348,2024-02-10 00:00:00.000 UTC
3.7275347222222353,2024-02-09 00:00:00.000 UTC
3.668124999999985,2024-02-08 00:00:00.000 UTC
3.6217708333333114,2024-02-07 00:00:00.000 UTC
3.580729166666639,2024-02-06 00:00:00.000 UTC
3.561597222222251,2024-02-05 00:00:00.000 UTC
3.5751388888889157,2024-02-04 00:00:00.000 UTC
3.6383333333333896,2024-02-03 00:00:00.000 UTC
3.613680555555531,2024-02-02 00:00:00.000 UTC
3.58614583333337,2024-02-01 00:00:00.000 UTC
