glp_aum,glp_aum_arbi,glp_aum_avax,glp_aum_m,glp_aum_m_arbi,glp_aum_m_avax,glp_avax_apr,glp_avax_aprp,glp_eth_apr,glp_eth_aprp,time_day
396884236.50601864,356622369.14406157,40261867.36195709,396.8842365060186,356.62236914406157,40.26186736195709,0.0549735272239095,5.49735272239095,0.04069484012280518,4.069484012280518,2023-10-08 00:00:00.000 UTC
392628735.61672187,352760443.51702243,39868292.09969947,392.6287356167219,352.76044351702245,39.86829209969947,0.05296174947959447,5.296174947959447,0.04040681263265083,4.040681263265083,2023-10-09 00:00:00.000 UTC
389785841.0001414,350293186.96389806,39492654.03624331,389.7858410001414,350.29318696389805,39.49265403624331,0.05289019408362453,5.289019408362453,0.0400560216325499,4.00560216325499,2023-10-10 00:00:00.000 UTC
384774280.8846166,345942291.3361461,38831989.54847052,384.7742808846166,345.9422913361461,38.83198954847052,0.05753744419191506,5.753744419191506,0.02339310335222495,2.339310335222495,2023-10-11 00:00:00.000 UTC
380841750.67967397,342375498.2500421,38466252.42963191,380.84175067967396,342.3754982500421,38.46625242963191,0.05639961600850369,5.639961600850369,0.02340123019741466,2.340123019741466,2023-10-12 00:00:00.000 UTC
379825312.20273185,341406073.7437876,38419238.458944276,379.8253122027318,341.4060737437876,38.41923845894428,0.056810851195165823,5.681085119516583,0.023431084443116652,2.343108444311665,2023-10-13 00:00:00.000 UTC
379595626.8314586,341112092.881505,38483533.94995363,379.5956268314586,341.112092881505,38.48353394995363,0.05697044964598455,5.697044964598455,0.023545770125394033,2.354577012539403,2023-10-14 00:00:00.000 UTC
379085388.3304371,340590168.13849556,38495220.19194155,379.0853883304371,340.5901681384956,38.49522019194155,0.056788405430650404,5.67884054306504,0.02364914520819044,2.364914520819044,2023-10-15 00:00:00.000 UTC
381517439.0192583,342923895.94242674,38593543.076831564,381.51743901925835,342.9238959424267,38.593543076831565,0.05816924773322579,5.8169247733225795,0.023848231766348378,2.384823176634838,2023-10-16 00:00:00.000 UTC
379271421.0993269,340959653.1495487,38311767.949778214,379.2714210993269,340.9596531495487,38.311767949778215,0.05750875399821367,5.750875399821367,0.02397523870236841,2.397523870236841,2023-10-17 00:00:00.000 UTC
374487729.6059606,336530913.43754196,37956816.16841862,374.4877296059606,336.530913437542,37.95681616841863,0.05892617481440188,5.892617481440188,0.04932982516522692,4.932982516522692,2023-10-18 00:00:00.000 UTC
373146147.9569892,335632278.9790755,37513868.977913745,373.14614795698924,335.63227897907547,37.513868977913745,0.05882446703732041,5.8824467037320405,0.04904860242441744,4.904860242441744,2023-10-19 00:00:00.000 UTC
377934788.56264275,340095424.2056433,37839364.35699946,377.9347885626428,340.09542420564327,37.839364356999454,0.060108117384804025,6.0108117384804025,0.04964192821745406,4.964192821745406,2023-10-20 00:00:00.000 UTC
378452740.81850225,340459391.4311773,37993349.387324914,378.45274081850226,340.4593914311773,37.99334938732491,0.061650519139349276,6.165051913934928,0.05006214537352938,5.006214537352938,2023-10-21 00:00:00.000 UTC
379631077.5197166,341454319.2489073,38176758.270809285,379.6310775197166,341.4543192489073,38.17675827080929,0.06347262138331533,6.3472621383315335,0.05057470594696887,5.057470594696887,2023-10-22 00:00:00.000 UTC
379593794.4754366,340929810.2887053,38663984.18673135,379.59379447543665,340.9298102887053,38.663984186731355,0.06461404070444833,6.461404070444833,0.05235146452241552,5.235146452241552,2023-10-23 00:00:00.000 UTC
388409836.6289401,348897977.03529996,39511859.59364015,388.4098366289401,348.89797703529996,39.511859593640146,0.06536598083508625,6.5365980835086255,0.05457180474976213,5.457180474976213,2023-10-24 00:00:00.000 UTC
385140447.51775885,345889335.82472104,39251111.693037786,385.14044751775884,345.88933582472106,39.251111693037785,0.11593355557498557,11.593355557498557,0.17958613933832962,17.95861393383296,2023-10-25 00:00:00.000 UTC
385223648.08974886,345904104.99472153,39319543.09502733,385.22364808974885,345.90410499472154,39.31954309502733,0.12110118555468027,12.110118555468027,0.1811759147766992,18.11759147766992,2023-10-26 00:00:00.000 UTC
381748114.59742004,342823631.1361322,38924483.46128788,381.74811459742006,342.8236311361322,38.92448346128788,0.1199370609410866,11.99370609410866,0.180695187054027,18.0695187054027,2023-10-27 00:00:00.000 UTC
379428359.9415552,340486569.5363485,38941790.40520667,379.4283599415552,340.4865695363485,38.941790405206675,0.12173334424707004,12.173334424707004,0.18222791610020675,18.222791610020675,2023-10-28 00:00:00.000 UTC
379875320.5559289,340838548.6697432,39036771.88618572,379.8753205559289,340.8385486697432,39.03677188618572,0.12391629261318689,12.39162926131869,0.18229782104159742,18.229782104159742,2023-10-29 00:00:00.000 UTC
380686721.8019755,341623303.5625922,39063418.239383295,380.68672180197547,341.6233035625922,39.063418239383296,0.12769751895176903,12.769751895176903,0.18332197961745625,18.332197961745624,2023-10-30 00:00:00.000 UTC
380109392.770674,341370219.4916078,38739173.27906619,380.109392770674,341.37021949160777,38.73917327906619,0.1288438100624511,12.88438100624511,0.18349190017076197,18.349190017076197,2023-10-31 00:00:00.000 UTC
378824960.9411563,340368147.9214119,38456813.01974447,378.82496094115635,340.3681479214119,38.45681301974447,0.07646391290861355,7.646391290861356,0.05478265554121628,5.478265554121628,2023-11-01 00:00:00.000 UTC
378306751.7596346,340019876.9566675,38286874.80296711,378.3067517596346,340.0198769566675,38.286874802967105,0.08096660393426687,8.096660393426687,0.05525559485159088,5.525559485159088,2023-11-02 00:00:00.000 UTC
374170414.42408043,336893434.81730765,37276979.60677276,374.17041442408043,336.89343481730765,37.276979606772755,0.08234323068116828,8.234323068116828,0.0550725819679595,5.50725819679595,2023-11-03 00:00:00.000 UTC
375967165.6655875,338452101.74632275,37515063.91926472,375.96716566558746,338.45210174632274,37.51506391926472,0.08346921631441039,8.346921631441038,0.0558347109034984,5.58347109034984,2023-11-04 00:00:00.000 UTC
377928185.3710434,340140467.5018569,37787717.86918646,377.9281853710434,340.1404675018569,37.78771786918646,0.08471168378559565,8.471168378559565,0.05687872452109844,5.687872452109844,2023-11-05 00:00:00.000 UTC
377583850.3757348,339780385.18038493,37803465.195349865,377.5838503757348,339.78038518038494,37.803465195349865,0.08756641400672857,8.756641400672857,0.05726089260440236,5.7260892604402365,2023-11-06 00:00:00.000 UTC
375623775.082948,338012103.167269,37611671.91567906,375.62377508294804,338.012103167269,37.61167191567906,0.08813979617851446,8.813979617851446,0.057330641494571837,5.733064149457183,2023-11-07 00:00:00.000 UTC
357592128.0003457,320388643.5456512,37203484.45469452,357.5921280003457,320.3886435456512,37.20348445469452,0.08602320245011404,8.602320245011404,0.11653263319053692,11.653263319053691,2023-11-08 00:00:00.000 UTC
350450178.8753109,313432691.8014666,37017487.07384431,350.4501788753109,313.4326918014666,37.017487073844315,0.08871075161595467,8.871075161595467,0.12374301281199653,12.374301281199653,2023-11-09 00:00:00.000 UTC
353472690.60803473,315781757.8373308,37690932.77070391,353.4726906080347,315.7817578373308,37.69093277070391,0.0900925013824875,9.00925013824875,0.1314979874781763,13.149798747817629,2023-11-10 00:00:00.000 UTC
351932548.5096699,313942044.9676906,37990503.54197931,351.9325485096699,313.9420449676906,37.990503541979315,0.09828794231835594,9.828794231835595,0.12990174972951615,12.990174972951616,2023-11-11 00:00:00.000 UTC
351330071.86468947,313178908.19385755,38151163.670831904,351.33007186468944,313.1789081938575,38.151163670831906,0.1164482396202915,11.64482396202915,0.1295884312476818,12.95884312476818,2023-11-12 00:00:00.000 UTC
351410903.0293151,313152519.34799474,38258383.68132035,351.41090302931514,313.15251934799477,38.258383681320346,0.11536773088150652,11.536773088150651,0.13040182812540227,13.040182812540227,2023-11-13 00:00:00.000 UTC
348566409.51346487,310490523.44449365,38075886.068971194,348.56640951346486,310.49052344449365,38.075886068971194,0.11103992199271379,11.103992199271378,0.12957554174443106,12.957554174443105,2023-11-14 00:00:00.000 UTC
349321566.62014264,309146566.7602767,40174999.859865956,349.3215666201426,309.1465667602767,40.174999859865956,3.9375974284841897,393.75974284841897,0.1741620363110734,17.41620363110734,2023-11-15 00:00:00.000 UTC
351291496.68995917,308798626.22181314,42492870.468146056,351.29149668995916,308.79862622181315,42.49287046814606,4.350872456964202,435.0872456964202,0.17603032385555786,17.603032385555785,2023-11-16 00:00:00.000 UTC
347928278.53345144,305713352.96266216,42214925.57078929,347.9282785334514,305.71335296266216,42.21492557078929,4.3371498966778645,433.7149896677864,0.17217681965876083,17.217681965876082,2023-11-17 00:00:00.000 UTC
347864910.0593101,305851095.7956289,42013814.26368118,347.8649100593101,305.8510957956289,42.01381426368118,4.227721266719635,422.77212667196346,0.17112285831586657,17.112285831586657,2023-11-18 00:00:00.000 UTC
349478504.9040908,307367386.2879863,42111118.616104566,349.4785049040908,307.3673862879863,42.11111861610456,4.240960826452567,424.09608264525673,0.17166421090396128,17.166421090396128,2023-11-19 00:00:00.000 UTC
354300804.67531466,311854032.8625568,42446771.81275786,354.3008046753147,311.85403286255683,42.44677181275786,4.276713877545362,427.67138775453617,0.17395100660552879,17.395100660552878,2023-11-20 00:00:00.000 UTC
351773646.6395243,309860174.7954487,41913471.84407558,351.77364663952426,309.8601747954487,41.91347184407558,4.115144821947947,411.5144821947947,0.17333980858323192,17.33398085832319,2023-11-21 00:00:00.000 UTC
