gmx_price,green_volume,red_volume,time,usd_volume
73.62990372548275,45503.28050234834,,2023-04-04 00:00:00.000 UTC,45503.28050234834
73.22087292897598,,69999.15452010103,2023-04-03 00:00:00.000 UTC,69999.15452010103
75.02040272974946,,54764.89399271711,2023-04-02 00:00:00.000 UTC,54764.89399271711
75.75552224530132,55301.53123906997,,2023-04-01 00:00:00.000 UTC,55301.53123906997
75.3075800942057,,87507.40806946703,2023-03-31 00:00:00.000 UTC,87507.40806946703
75.35491187585032,,112580.23834252039,2023-03-30 00:00:00.000 UTC,112580.23834252039
77.01609078755169,124689.05098504618,,2023-03-29 00:00:00.000 UTC,124689.05098504618
73.98950657428965,153306.25762192815,,2023-03-28 00:00:00.000 UTC,153306.25762192815
70.01525514003637,130648.46609130787,,2023-03-27 00:00:00.000 UTC,130648.46609130787
69.60306947606767,,73709.65057515567,2023-03-26 00:00:00.000 UTC,73709.65057515567
69.87407848109413,,89159.3241418761,2023-03-25 00:00:00.000 UTC,89159.3241418761
72.30170173751188,,144603.40347502375,2023-03-24 00:00:00.000 UTC,144603.40347502375
76.44719295828189,,151136.1004785233,2023-03-23 00:00:00.000 UTC,151136.1004785233
79.37791030812139,,208128.8808278943,2023-03-22 00:00:00.000 UTC,208128.8808278943
80.63364642912963,,254641.05542319137,2023-03-21 00:00:00.000 UTC,254641.05542319137
81.72449326974437,182245.61999152994,,2023-03-20 00:00:00.000 UTC,182245.61999152994
81.02024522403275,,172005.98061062154,2023-03-19 00:00:00.000 UTC,172005.98061062154
82.57134935929719,239787.19853939902,,2023-03-18 00:00:00.000 UTC,239787.19853939902
79.1800093651223,,236985.76802981104,2023-03-17 00:00:00.000 UTC,236985.76802981104
79.61041585408027,536096.5403613766,,2023-03-16 00:00:00.000 UTC,536096.5403613766
76.01507678254586,330209.49354337924,,2023-03-15 00:00:00.000 UTC,330209.49354337924
75.50094265334361,203173.03668014766,,2023-03-14 00:00:00.000 UTC,203173.03668014766
69.43835926606008,177762.19972111378,,2023-03-13 00:00:00.000 UTC,177762.19972111378
61.940797263841866,102821.7234579775,,2023-03-12 00:00:00.000 UTC,102821.7234579775
59.45244971029113,,206002.73824615875,2023-03-11 00:00:00.000 UTC,206002.73824615875
62.80788447785769,,97917.49190098014,2023-03-10 00:00:00.000 UTC,97917.49190098014
67.03594348228454,,92509.60200555266,2023-03-09 00:00:00.000 UTC,92509.60200555266
70.13894856133034,,96791.74901463588,2023-03-08 00:00:00.000 UTC,96791.74901463588
71.33454363436275,109213.18630420936,,2023-03-07 00:00:00.000 UTC,109213.18630420936
69.51629484453055,97878.94314109902,,2023-03-06 00:00:00.000 UTC,97878.94314109902
67.52576728447248,,73062.88020179923,2023-03-05 00:00:00.000 UTC,73062.88020179923
67.56727562925562,,107634.6700774042,2023-03-04 00:00:00.000 UTC,107634.6700774042
69.00882172024706,,109862.04417863331,2023-03-03 00:00:00.000 UTC,109862.04417863331
74.55786531352356,120709.18394259465,,2023-03-02 00:00:00.000 UTC,120709.18394259465
74.43736879268242,129297.70959288937,,2023-03-01 00:00:00.000 UTC,129297.70959288937
73.79313180696164,,79844.1686151325,2023-02-28 00:00:00.000 UTC,79844.1686151325
74.90209766835177,99919.39828958127,,2023-02-27 00:00:00.000 UTC,99919.39828958127
73.37182361464521,97437.78176024884,,2023-02-26 00:00:00.000 UTC,97437.78176024884
72.06529441871213,,95342.38451595615,2023-02-25 00:00:00.000 UTC,95342.38451595615
74.90688027948562,,145843.6959041585,2023-02-24 00:00:00.000 UTC,145843.6959041585
76.4215730452285,164917.7546316031,,2023-02-23 00:00:00.000 UTC,164917.7546316031
73.93509952873498,,157407.82689667676,2023-02-22 00:00:00.000 UTC,157407.82689667676
78.34987032523307,147924.55517404003,,2023-02-21 00:00:00.000 UTC,147924.55517404003
78.02190437703047,,143482.28214935903,2023-02-20 00:00:00.000 UTC,143482.28214935903
79.88642276850324,,132771.23464125238,2023-02-19 00:00:00.000 UTC,132771.23464125238
82.0201180553319,209889.48210359435,,2023-02-18 00:00:00.000 UTC,209889.48210359435
79.40192324854695,,236458.92743417283,2023-02-17 00:00:00.000 UTC,236458.92743417283
81.80974247277499,311449.68959385436,,2023-02-16 00:00:00.000 UTC,311449.68959385436
