date,total_tokens
2024-04-10,137950014280174743254441758.000000000
2024-04-09,135787369723649828463082489.000000000
2024-04-07,116685229258671066111476457.000000000
2024-04-06,116692170116806316802456397.000000000
2024-04-05,116531652304308885248695264.000000000
2024-04-04,116322832446063961374968844.000000000
2024-04-03,116452004650003165293451238.000000000
2024-04-02,118553644630936289733173120.000000000
2024-04-01,118337625290373945532541426.000000000
2024-03-31,118279402820631613326685729.000000000
2024-03-30,117332935047297779424001517.000000000
2024-03-29,118822243064937194297651390.000000000
2024-03-27,118626534560609989950616988.000000000
2024-03-26,118336327899833703903081169.000000000
2024-03-25,118271123873452321114346534.000000000
2024-03-24,118197696059587640967832512.000000000
2024-03-23,118119492353928898830487211.000000000
2024-03-22,118057900719800557569745512.000000000
2024-03-21,117936730127310863707959470.000000000
2024-03-20,117858366341006074869185602.000000000
2024-03-19,117135510107442015587000542.000000000
2024-03-18,116535002238698322621951230.000000000
2024-03-17,115358037844011944073220416.000000000
2024-03-16,114895232347344609510530443.000000000
2024-03-15,114932509629710199315214858.000000000
2024-03-14,114796390251174618625548791.000000000
2024-03-13,114506594002723017652051427.000000000
2024-03-12,113565562039448680204864196.000000000
2024-03-11,112443850219098848162118933.000000000
2024-03-10,111928235578570923502049202.000000000
2024-03-09,109725570546131357809641955.000000000
2024-03-08,109023425041480307649918915.000000000
2024-03-07,108827330715363211802352770.000000000
2024-03-06,108539597689572234219100265.000000000
2024-03-05,107950288577409744486004670.000000000
2024-03-04,107832288557449712712188983.000000000
2024-03-03,107656270948365569440278738.000000000
2024-03-02,107457665991209324949912347.000000000
2024-03-01,107263052072142603126529938.000000000
2024-02-29,106519566765424828807547014.000000000
2024-02-28,104198382744478951858643317.000000000
2024-02-27,103749791901511104766574831.000000000
2024-02-26,101733886765739718943437782.000000000
2024-02-25,101547909915155561375961788.000000000
2024-02-24,101521773555415698803001092.000000000
2024-02-23,100684802637055887121516275.000000000
2024-02-22,100584029610321710510051409.000000000
2024-02-21,98075501536784199015198459.000000000
2024-02-20,95737650440075607138671154.000000000
2024-02-19,95665790707631703528902088.000000000
2024-02-18,95537552224862423105056897.000000000
2024-02-17,95434606412978346169550547.000000000
2024-02-16,94926033385230747669262095.000000000
2024-02-15,94807315850021527845493482.000000000
2024-02-14,94788911424492188509704015.000000000
2024-02-13,94705675629223333728267938.000000000
2024-02-12,94590205873172591924242720.000000000
2024-02-11,94523343037157460725751607.000000000
2024-02-10,94448595589951183973097058.000000000
2024-02-09,94041168090892386054704132.000000000
2024-02-08,93774843972325294906274927.000000000
2024-02-07,93659531695766220963575801.000000000
2024-02-06,93559158607334937912154265.000000000
2024-02-05,93370060270798875579788478.000000000
2024-02-04,92585931021330560833198566.000000000
2024-02-03,92209072925237053686492512.000000000
2024-02-02,88497723040758656539297584.000000000
2024-02-01,82784120187510007660961921.000000000
2024-01-31,82118184375679583529671207.000000000
2024-01-30,81745118107113836030757322.000000000
2024-01-29,81398853645718289752843033.000000000
2024-01-28,81322607907729250889413974.000000000
2024-01-27,81271838891360996370530954.000000000
2024-01-26,81241944950408792736646150.000000000
2024-01-25,81197743144060679259545882.000000000
2024-01-24,80935864535521437029958682.000000000
2024-01-23,80751271553227624860935165.000000000
2024-01-22,81007297791241668304786366.000000000
2024-01-21,80822005482517762873929623.000000000
2024-01-20,80427809590911935420746769.000000000
2024-01-19,80246220443467787836450371.000000000
2024-01-18,80030286043464748892280139.000000000
2024-01-17,76665146169841047930817083.000000000
2024-01-16,75817760818041507291400073.000000000
2024-01-15,74528034839486967945249550.000000000
2024-01-14,74200363120779539078719265.000000000
2024-01-13,74064635009032616256992474.000000000
2024-01-12,73918811826450723386423542.000000000
2024-01-11,73483211155309184307047224.000000000
2024-01-10,73173229350170918000684395.000000000
2024-01-09,73321575947552955549212177.000000000
2024-01-08,72821956501933688538992849.000000000
2024-01-06,72388518225161607548034047.000000000
2024-01-05,71073225675630124049441181.000000000
2024-01-04,70910305673005944621936718.000000000
2024-01-03,65056356754478505460649010.000000000
2024-01-02,64619858973403931294282050.000000000
2024-01-01,64375271659118922649777863.000000000
2023-12-31,63907161330837257989420926.000000000
2023-12-30,63473030953079823509864982.000000000
2023-12-29,63114672215608461877141493.000000000
2023-12-28,61671361818531728548015043.000000000
2023-12-27,61538190236487477738288003.000000000
2023-12-26,60410654428359720746055268.000000000
2023-12-25,60452912245915083847508009.000000000
2023-12-24,60417338557788532437409515.000000000
2023-12-23,60307682826627885033405588.000000000
2023-12-22,56417404975191931236108137.000000000
2023-12-21,52821726582970844182166439.000000000
2023-12-20,51926165261048377265421768.000000000
2023-12-19,50799891068387187118678503.000000000
2023-12-18,50664966538815336291183932.000000000
2023-12-17,50603630569908843515681402.000000000
2023-12-16,50556145483902829790947342.000000000
2023-12-15,50339211045240067362784388.000000000
2023-12-14,47145221087747691770593852.000000000
2023-12-13,46552982661714172082494304.000000000
2023-12-12,45939124816651131805306622.000000000
2023-12-11,41798920323442183777826336.000000000
2023-12-10,40314370233542186217003400.000000000
2023-12-09,40187331778023574637062534.000000000
2023-12-08,39243481134333378837147675.000000000
2023-12-07,35278676081477044100250907.000000000
2023-12-06,31060131676560375897734552.000000000
2023-12-05,28992459667336312851000715.000000000
2023-12-04,22911392988333899777400532.000000000
2023-12-03,21891544133992891049533500.000000000
2023-12-02,20883878220244652211663356.000000000
2023-12-01,19854881116445507099299684.000000000
2023-11-30,18887346407979631507734666.000000000
2023-11-29,17755331704930483022832753.000000000
2023-11-28,16447476444696450109542899.000000000
2023-11-27,14790323027163093727322733.000000000
2023-11-26,14758232769984418495130546.000000000
2023-11-25,15796772961037643474524961.000000000
2023-11-24,15758483468087637832663725.000000000
2023-11-23,15661834310379142950838517.000000000
2023-11-22,15117728782960962067482157.000000000
2023-11-21,13707290096906444454413603.000000000
2023-11-20,13183799787346170334335642.000000000
2023-11-19,13150548979867170641057773.000000000
2023-11-18,10618713542298878993926310.000000000
2023-11-17,10219226682784887911669340.000000000
2023-11-16,9708642473498020966362392.000000000
2023-11-15,9677441863563331671942432.000000000
2023-11-14,7809680017345759193265218.000000000
2023-11-13,6966881016039130132625875.000000000
2023-11-12,6887675257120591918780945.000000000
2023-11-11,6834176215257513987097729.000000000
2023-11-10,5265921481566090042823477.000000000
2023-11-09,4180290955271692713168206.000000000
2023-11-08,3994182503134771035461927.000000000
2023-11-07,3486897257067408542571245.000000000
2023-11-06,1843681190263587769580989.000000000
2023-11-05,1759337219699566290639453.000000000
2023-11-04,1178593476701617627418234.000000000
2023-11-03,1097405430342285695849547.000000000
2023-11-02,933431469029947495322277.000000000
2023-11-01,438204419366887876530512.000000000
2023-10-31,228499928462330258722092.000000000
2023-10-30,102835385338649588887586.000000000
2023-10-29,72873604700941697761402.000000000
2023-10-28,42923596182713394725040.000000000
