cumu_qty_staked,day,gmx_apr,gmx_apr_times100,gmx_avg_apr,gmx_avg_apr_times100,gmx_cumu_income,gmx_income_usd,gmx_med_apr,gmx_med_apr_times100,ma30d,ma7d,net_qty_staked,staked_gmx_tvl
1840841.8897678014,2022-05-23 00:00:00.000 UTC,0.4187821738321704,41.87821738321704,0.4204728124454912,42.04728124454912,12110729.88105185,44704.286650358365,0.33690458517257366,33.69045851725736,1993.8457554853778,7983.663806007273,12490.99782686197,38963130.82781783
1846425.2760247667,2022-05-24 00:00:00.000 UTC,0.3632824526286693,36.32824526286693,0.4202422061559072,42.02422061559072,12149021.484250704,38291.60319885371,0.337837798682785,33.7837798682785,1578.2787200516216,7682.339361398724,5583.386256965317,38472640.410924755
1890508.5778155362,2022-05-25 00:00:00.000 UTC,0.3646681409128941,36.466814091289415,0.420019017138867,42.001901713886696,12189966.33862162,40944.85437091714,0.33877101219299643,33.87710121929964,2477.233041206654,15609.77724292239,44083.3017907694,40982115.43232821
1890309.1628914317,2022-05-26 00:00:00.000 UTC,1.116632693344591,111.66326933445909,0.4228054718436899,42.28054718436899,12309501.006904239,119534.6682826183,0.3397042257032078,33.97042257032077,1791.625912781625,15466.515423457155,-199.41492410447609,39072968.38360749
1868097.7902835812,2022-05-27 00:00:00.000 UTC,0.7875791314465683,78.75791314465684,0.4242587533560519,42.42587533560519,12387193.034054568,77692.02715032926,0.34063743921341916,34.06374392134191,1001.7671501935962,11764.966260282281,-22211.372607850433,36006019.93832037
1882689.9970287767,2022-05-28 00:00:00.000 UTC,0.12455062951343894,12.455062951343894,0.4230694354042955,42.30694354042955,12399485.75061782,12292.716563252126,0.3397042257032078,33.97042257032077,1703.0691795412806,11002.985514855696,14592.206745195519,36024238.20028062
1904061.4070671818,2022-05-29 00:00:00.000 UTC,0.38547545373884445,38.54754537388445,0.4229208425913886,42.29208425913885,12439207.30465497,39721.554037149406,0.34063743921341916,34.06374392134191,1930.7140902784631,10815.787875177513,21371.410038405193,37611648.37588342
1924416.3430603982,2022-05-30 00:00:00.000 UTC,0.7722752402143207,77.22752402143207,0.42429625360565215,42.429625360565204,12528915.562626656,89708.2579716863,0.3415706527236305,34.15706527236305,2750.6552603316504,11939.207613228156,20354.93599321648,42398762.066460356
1907775.2734716628,2022-05-31 00:00:00.000 UTC,0.192473881739877,19.2473881739877,0.423387146265002,42.33871462650019,12551542.868739381,22627.306112724782,0.34063743921341916,34.06374392134191,1543.4632752853838,8764.285349556632,-16641.069588735365,42909545.21458815
1938218.4279732816,2022-06-01 00:00:00.000 UTC,0.32382491174917627,32.382491174917625,0.42299823128642455,42.29982312864245,12588108.167383568,36565.298644186085,0.33891085075570926,33.89108507557092,2720.279874047765,6815.69287967797,30443.154501618774,41214661.13597071
1973781.337295156,2022-06-02 00:00:00.000 UTC,0.08748974115863845,8.748974115863845,0.4216927507800907,42.16927507800907,12597379.538113978,9271.370730409311,0.3378642979672838,33.78642979672838,3511.6968253879454,11924.596343389228,35562.90932187432,38679395.68438498
1959929.0961031332,2022-06-03 00:00:00.000 UTC,0.2240638874587865,22.40638874587865,0.42092674743388414,42.09267474338841,12623200.320643822,25820.782529844793,0.3368177451788583,33.681774517885835,2374.269181518072,13118.757974221731,-13852.241192022906,42062046.36669474
1992590.4272557884,2022-06-04 00:00:00.000 UTC,0.05831474952557913,5.831474952557913,0.4195267011099138,41.95267011099138,12630101.352348669,6901.031704847348,0.3357711923904329,33.577119239043284,1987.9674992467815,15700.061461001698,32661.3311526553,43194502.124448024
1991386.0495628032,2022-06-05 00:00:00.000 UTC,0.0753430248490415,7.53430248490415,0.4182029177396797,41.820291773967966,12639145.912954142,9044.560605474118,0.33472463960200743,33.47246396020074,1554.3793965637562,12474.948927945936,-1204.3776929851483,43816459.819771245
1990031.4525822673,2022-06-06 00:00:00.000 UTC,0.11457882867429436,11.457882867429436,0.4170396070536055,41.703960705360544,12653498.148296254,14352.23534211147,0.33317078575049025,33.317078575049024,2186.6236979279925,9373.587074552755,-1354.5969805357781,45720190.72355863
1987734.332154682,2022-06-07 00:00:00.000 UTC,0.29740524278032526,29.740524278032527,0.41658298734263877,41.65829873426387,12688272.00938345,34773.86108719649,0.331616931898973,33.1616931898973,1667.9191091488328,11422.72266900274,-2297.1204275854834,42677321.95360742
1984296.0485592098,2022-06-08 00:00:00.000 UTC,0.13937170114550596,13.937170114550595,0.41552895203390444,41.552895203390435,12704197.141363846,15925.131980395923,0.3300630780474558,33.00630780474558,806.9102797820925,6582.5172265611745,-3438.283595472185,41706265.5120784
1977776.8117463698,2022-06-09 00:00:00.000 UTC,0.10728297826416011,10.72829782641601,0.414361353648413,41.43613536484129,12716116.951102283,11919.80973843737,0.3285092241959386,32.85092241959386,41.414369928083154,570.782064459138,-6519.236812839932,40553782.38863716
1966837.5653851128,2022-06-10 00:00:00.000 UTC,0.3889527263361025,38.89527263361025,0.4142654720359137,41.42654720359136,12757185.275028948,41068.32392666566,0.3300630780474558,33.00630780474558,7026.233405229447,986.9241831399813,-10939.246361257003,38539229.110017434
1941448.6413773266,2022-06-11 00:00:00.000 UTC,1.7374533788153244,173.74533788153244,0.419239862662904,41.923986266290385,12917011.81600388,159826.54097493197,0.331616931898973,33.1616931898973,6436.900924723655,-7305.969411208816,-25388.924007786278,33575972.83883773
1977560.304980246,2022-06-12 00:00:00.000 UTC,0.8281114121116209,82.81114121116208,0.42077121678068946,42.077121678068934,12992745.153233165,75733.33722928629,0.33317078575049025,33.317078575049024,6265.358922700557,-1975.1063689367418,36111.663602919376,33380373.322235476
1998998.671262853,2022-06-13 00:00:00.000 UTC,1.795353885554725,179.5353885554725,0.4259002565895478,42.590025658954765,13133847.575040054,141102.42180688918,0.33472463960200743,33.47246396020074,6560.4430996670235,1281.0312400836685,21438.366282607094,28686480.350140795
