cir_supply,daily_change,fdv,market_cap,market_cap_raw,time,total_supply,weekly_change
8800821.624784153,0.03581670929654112,663.7712907030154,440.88548899094235,440885488.99094236,2023-06-20 00:00:00.000 UTC,13250000,0.17224699395015805
8797670.588684537,0.019815744471791973,652.5589466312701,433.28291714421795,433282917.14421797,2023-06-19 00:00:00.000 UTC,13250000,0.14626721707388457
8795927.610145386,0.015959331433573892,662.0287298067456,439.48353080880247,439483530.8088025,2023-06-18 00:00:00.000 UTC,13250000,0.16014827515160113
8794524.062902182,0.028426602316269516,667.3765198927146,442.9629330726336,442962933.07263356,2023-06-17 00:00:00.000 UTC,13250000,0.16396078149535506
8792024.788979871,0.015225550160948533,629.1671554657288,417.48326243521814,417483262.43521816,2023-06-16 00:00:00.000 UTC,13250000,0.16378154511903675
8790686.358618848,0.03580788908769045,589.7197339449101,391.2483940073855,391248394.0073855,2023-06-15 00:00:00.000 UTC,13250000,0.17487286721335007
8787539.726140175,0.02107046882136919,605.5364276159269,401.5981443999971,401598144.3999971,2023-06-14 00:00:00.000 UTC,13250000,0.1619753945217126
8785688.540375533,0.009872315757078294,604.0287724133474,400.5138614225695,400513861.4225695,2023-06-13 00:00:00.000 UTC,13250000,0.16506983837220074
8784821.275080562,0.03367927538365425,573.2414069232301,380.0621363997211,380062136.3997211,2023-06-12 00:00:00.000 UTC,13250000,0.18589412349851184
8781863.607052526,0.019766349354316367,591.4315613420117,391.990287140503,391990287.14050305,2023-06-11 00:00:00.000 UTC,13250000,0.17758486269433624
8780128.096259262,0.02824760846885035,606.6926464593594,402.0255962997516,402025596.29975164,2023-06-10 00:00:00.000 UTC,13250000,0.17667857347946092
8777648.620444188,0.026300422373241605,680.2606324919941,450.64821149704477,450648211.49704474,2023-06-09 00:00:00.000 UTC,13250000,0.17286239323104655
8775340.668783607,0.022928320953417528,678.9389229691931,449.65436546050574,449654365.4605057,2023-06-08 00:00:00.000 UTC,13250000,0.1803519836312235
8773329.091731155,0.024160559499117686,695.6984570362574,460.6484160142396,460648416.0142396,2023-06-07 00:00:00.000 UTC,13250000,0.18097323662229003
8771209.918340042,0.030664335369402832,699.2007361038072,462.8555797301413,462855579.7301413,2023-06-06 00:00:00.000 UTC,13250000,0.19630342617885085
