"Time","Osmo_Bonded_Ratio{instance=""localhost:8000"", job=""osmo_price"", v=""osmo_amount_bonded_ratio""}"
2024-04-29 00:00:00,55.8%
2024-04-30 00:00:00,55.8%
2024-05-01 00:00:00,55.9%
2024-05-02 00:00:00,55.2%
2024-05-03 00:00:00,55.3%
2024-05-04 00:00:00,55.3%
2024-05-05 00:00:00,55.3%
2024-05-06 00:00:00,55.2%
2024-05-07 00:00:00,55.3%
2024-05-08 00:00:00,55.3%
2024-05-09 00:00:00,55.3%
2024-05-10 00:00:00,55.4%
2024-05-11 00:00:00,55.3%
2024-05-12 00:00:00,55.4%
2024-05-13 00:00:00,55.3%
2024-05-14 00:00:00,55.3%
2024-05-15 00:00:00,55.3%
2024-05-16 00:00:00,55.4%
2024-05-17 00:00:00,55.4%
2024-05-18 00:00:00,55.4%
2024-05-19 00:00:00,55.4%
2024-05-20 00:00:00,55.5%
2024-05-21 00:00:00,55.5%
2024-05-22 00:00:00,55.4%
2024-05-23 00:00:00,55.4%
2024-05-24 00:00:00,52.6%
2024-05-25 00:00:00,52.3%
2024-05-26 00:00:00,52.3%
2024-05-27 00:00:00,52.3%
2024-05-28 00:00:00,52.2%
2024-05-29 00:00:00,52.2%
2024-05-30 00:00:00,52.2%
2024-05-31 00:00:00,52.1%
2024-06-01 00:00:00,52.1%
2024-06-02 00:00:00,52.1%
2024-06-03 00:00:00,52.1%
2024-06-04 00:00:00,52.0%
2024-06-05 00:00:00,52.0%
2024-06-06 00:00:00,51.9%
2024-06-07 00:00:00,51.9%
2024-06-08 00:00:00,51.9%
2024-06-09 00:00:00,52.0%
2024-06-10 00:00:00,51.9%
2024-06-11 00:00:00,52.0%
2024-06-12 00:00:00,55.0%
2024-06-13 00:00:00,55.0%
2024-06-14 00:00:00,54.9%
2024-06-15 00:00:00,54.9%
2024-06-16 00:00:00,54.9%
2024-06-17 00:00:00,54.8%
2024-06-18 00:00:00,54.3%
2024-06-19 00:00:00,54.7%
2024-06-20 00:00:00,54.7%
2024-06-21 00:00:00,54.8%
2024-06-22 00:00:00,54.8%
2024-06-23 00:00:00,54.2%
2024-06-24 00:00:00,55.0%
2024-06-25 00:00:00,54.9%
2024-06-26 00:00:00,54.9%
2024-06-27 00:00:00,55.0%
2024-06-28 00:00:00,54.9%
2024-06-29 00:00:00,54.9%
2024-06-30 00:00:00,54.9%
2024-07-01 00:00:00,54.9%
2024-07-02 00:00:00,54.9%
2024-07-03 00:00:00,54.9%
2024-07-04 00:00:00,54.9%
2024-07-05 00:00:00,54.9%
2024-07-06 00:00:00,54.9%
2024-07-07 00:00:00,54.8%
2024-07-08 00:00:00,54.8%
2024-07-09 00:00:00,54.8%
2024-07-10 00:00:00,54.7%
