date,bonded_percent,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,token,bonded_tokens
2023-09-30,0.507,15.93%,-0.295671834679,-0.257244334714,-4.33517850165,-17.712782509454,0.3104399680635132,3388927.41,152919860.11322168,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-01,0.507,15.92%,-0.120325596443,0.581756383576,-3.293244814096,-13.575991447116,0.31224597239489466,3372735.53,153809481.16118616,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-02,0.507,15.92%,-0.36768182056,2.349876488128,0.190865687839,-9.23452862038,0.3195833670853275,4242768.86,157423813.9955038,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-03,0.507,15.91%,0.038259738616,-3.425547307901,-2.75888541562,-13.281613235481,0.30863588765763694,4040828.75,152031186.77318588,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-04,0.507,15.90%,0.107188968343,-0.934571305737,-3.070035334665,-14.195113115361,0.3057514652123827,3268194.57,150610346.92583263,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-05,0.507,15.91%,-0.169079041669,-1.75674636454,-1.523883604451,-15.183805596719,0.3003801874627367,2893544.59,147964505.13159212,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-06,0.509,15.84%,-0.186023418754,-2.089738288798,-5.506218762257,-17.968299792092,0.2941030276733658,2739558.58,144872434.21402735,587378721.0,492590761.0,Osmosis,250728697.0
2023-10-07,0.508,15.88%,0.06451659858,0.823436128203,-4.48240923775,-17.703895714963,0.29652477825736645,3064665.0,146065366.1771524,587378721.0,492590761.0,Osmosis,250236107.0
2023-10-08,0.508,15.87%,-0.285465353575,-0.765718539679,-5.762040484107,-17.734987399651,0.2942542330555087,2542851.52,144946916.58828437,587378721.0,492590761.0,Osmosis,250236107.0
2023-10-09,0.508,15.86%,-0.089108866427,-3.483033949273,-11.132653488445,-18.914030210346,0.284005258221012,2590250.6,139898366.27508983,587378721.0,492590761.0,Osmosis,250236107.0
2023-10-10,0.509,15.81%,-0.268468433667,-4.259977715249,-11.900492332803,-22.433818586299,0.271906697510662,3608841.95,133938727.0477738,587378721.0,492590761.0,Osmosis,250728697.0
2023-10-11,0.509,15.83%,0.003750603823,-1.533784593215,-12.433376471198,-20.445534141672,0.26773623447632455,10745417.72,131884395.48796715,587378721.0,492590761.0,Osmosis,250728697.0
2023-10-12,0.51,15.78%,0.00260249784,-2.37215152481,-12.981902196812,-17.755140691322,0.26138512530772423,3162092.67,128755897.78941225,587378721.0,492590761.0,Osmosis,251221288.0
2023-10-13,0.511,15.74%,-0.140111051041,-4.506346935227,-15.129671836804,-22.80703471022,0.24960620472427975,3725230.04,122953710.33545476,587378721.0,492590761.0,Osmosis,251713879.0
2023-10-14,0.511,15.74%,-0.170210094646,0.404853427412,-15.482022962136,-23.110325117339,0.25061674399913797,3324678.24,123451492.64587756,587378721.0,492590761.0,Osmosis,251713879.0
2023-10-15,0.511,15.74%,0.267555759086,0.060749213801,-14.778119214528,-24.216362275697,0.2507689917007713,2191330.58,123526488.45708564,587378721.0,492590761.0,Osmosis,251713879.0
2023-10-16,0.51,15.76%,-0.230044366296,3.316307847169,-8.774483587487,-22.040019978731,0.25908526345081057,15914087.84,127623007.08712026,587378721.0,492590761.0,Osmosis,251221288.0
2023-10-17,0.507,15.85%,-0.227281283347,-2.97541497634,-7.550492863182,-25.708852975366,0.25137640172060577,6986665.73,123825693.0209949,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-18,0.507,15.84%,0.081560847533,-4.239899764955,-10.091252786261,-27.05169136185,0.24071829425490093,3705713.53,118575607.75364357,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-19,0.509,15.80%,-0.12746473018,-2.771990041942,-10.4594774345,-30.594363000232,0.23404560710902256,4306065.59,115288703.71454044,587378721.0,492590761.0,Osmosis,250728697.0
2023-10-20,0.509,15.77%,-0.11978321831,-3.625404121531,-9.63345311396,-33.611634772521,0.22556050802263028,3263730.16,111109022.29841405,587378721.0,492590761.0,Osmosis,250728697.0
2023-10-21,0.509,15.79%,-0.006926445402,2.479707282442,-7.766039619772,-30.538991403468,0.2311537483663816,3770870.63,113864200.81579843,587378721.0,492590761.0,Osmosis,250728697.0
2023-10-22,0.506,15.87%,0.029051233012,3.318736483857,-4.762893319683,-26.470519319955,0.23882513214721926,4083134.47,117643053.5903243,587378721.0,492590761.0,Osmosis,249250925.0
2023-10-23,0.505,15.88%,0.479300186252,0.740472988611,-7.137301235791,-25.858964439577,0.24059356774078466,3130398.71,118514168.62513816,587378721.0,492590761.0,Osmosis,248758334.0
2023-10-24,0.506,15.86%,0.106376115037,4.688143626544,0.197527702956,-21.99158075348,0.2518729397526988,4620892.21,124070283.06808905,587378721.0,492590761.0,Osmosis,249250925.0
2023-10-25,0.508,15.79%,-0.442305238036,1.506210091466,6.209906555002,-19.847313180385,0.2556666753889262,7400412.74,125939042.19217111,587378721.0,492590761.0,Osmosis,250236107.0
2023-10-26,0.506,15.83%,0.413610051437,4.990998101555,14.690037390387,-15.427397932412,0.26842699430389666,5682706.11,132224657.39709912,587378721.0,492590761.0,Osmosis,249250925.0
2023-10-27,0.506,15.84%,0.568712617863,2.172163069893,21.589399114261,-13.054264876752,0.27425766634379056,6476555.66,135096792.57437187,587378721.0,492590761.0,Osmosis,249250925.0
2023-10-28,,,0.1327916499,0.915744824038,19.733799985444,-9.264479433175,0.2767691667278606,4051755.46,136333934.45981273,587378721.0,492590761.0,Osmosis,
2023-10-29,0.506,15.80%,0.180088071759,3.769944114154,20.256694534841,-7.723094600309,0.28720320963871093,3122434.13,141473647.59757516,587378721.0,492590761.0,Osmosis,249250925.0
2023-10-29,0.507,15.80%,0.180088071759,3.769944114154,20.256694534841,-7.723094600309,0.28720320963871093,3122434.13,141473647.59757516,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-29,0.506,15.82%,0.180088071759,3.769944114154,20.256694534841,-7.723094600309,0.28720320963871093,3122434.13,141473647.59757516,587378721.0,492590761.0,Osmosis,249250925.0
2023-10-29,0.507,15.82%,0.180088071759,3.769944114154,20.256694534841,-7.723094600309,0.28720320963871093,3122434.13,141473647.59757516,587378721.0,492590761.0,Osmosis,249743516.0
2023-10-30,0.502,15.95%,0.038768222359,5.808557080279,26.306606972292,-2.111324806993,0.30388557200696753,4280012.67,149691225.17183244,587378721.0,492590761.0,Osmosis,247280562.0
2023-10-31,0.501,15.97%,1.670089139473,20.903002235101,45.8698899042,17.665818744678,0.3674067799157334,29432096.17,180981185.31525064,587378721.0,492590761.0,Osmosis,246787971.0
2023-11-01,0.504,15.88%,0.101578581866,-1.915250174896,40.953067259397,12.76244574537,0.36037002092081777,36523413.45,177514942.84697154,587378721.0,492590761.0,Osmosis,248265744.0
2023-11-02,0.504,15.87%,-0.145801814825,-1.199487887068,32.642183434112,15.361641471261,0.3560474261712474,11198135.58,175385672.60978606,587378721.0,492590761.0,Osmosis,248265744.0
2023-11-03,0.516,15.51%,3.493646371096,36.572528532642,77.301505981575,59.038640210504,0.4862629726974646,85540054.06,239528647.76716632,587378721.0,492590761.0,Osmosis,254176833.0
2023-11-04,0.516,15.48%,-0.261976229228,-10.064783297761,58.00952953268,45.589381887067,0.43732165823821173,41857052.32,215420608.43334264,587378721.0,492590761.0,Osmosis,254176833.0
2023-11-05,0.516,15.48%,0.402392449991,2.82921504936,56.577090128238,52.903705876375,0.44969442840719587,9365185.63,221515320.70656064,587378721.0,492590761.0,Osmosis,254176833.0
2023-11-06,0.514,15.54%,0.511093092993,7.31743026275,58.809943300071,62.752167774152,0.4826005046013625,15307935.08,237724549.82056916,587378721.0,492590761.0,Osmosis,253191651.0
2023-11-07,0.515,15.50%,-0.167231289797,11.498514473011,46.456849161355,82.866491972698,0.5380923934697757,26446250.67,265059341.58758822,587378721.0,492590761.0,Osmosis,253684242.0
2023-11-08,0.514,15.52%,-0.308220852314,-5.897557142996,40.510602349478,78.291800037285,0.5063580870827814,9733854.83,249427315.45461157,587378721.0,492590761.0,Osmosis,253191651.0
2023-11-09,0.514,15.52%,0.377375002804,4.343945413527,48.39427760068,94.314450809701,0.528354005982637,8277621.34,260262301.88438573,587378721.0,492590761.0,Osmosis,253191651.0
2023-11-10,0.515,15.49%,0.444058379748,-0.174866889148,8.46601929052,96.996155862245,0.5274300897686861,12241723.85,259807189.2934554,587378721.0,492590761.0,Osmosis,253684242.0
2023-11-11,0.514,15.53%,0.251905754278,4.070139307924,25.513387876891,109.995587364802,0.5488972291741799,9102093.0,270381703.8297007,587378721.0,492590761.0,Osmosis,253191651.0
2023-11-12,0.513,15.55%,-0.218565446276,15.311834001362,40.74967839501,153.576814103067,0.6329434617434082,28381064.83,311782101.4901598,587378721.0,492590761.0,Osmosis,252699060.0
2023-11-13,0.511,15.60%,-0.590283644853,-1.565986050127,29.098840446085,148.599373483784,0.6230316554273158,11672139.23,306899637.2740312,587378721.0,492590761.0,Osmosis,251713879.0
2023-11-14,0.512,15.55%,-2.08497760096,2.317201672824,18.468233913979,154.205494485442,0.6374685553691025,21173119.01,314011120.80283684,587378721.0,492590761.0,Osmosis,252206470.0
2023-11-15,0.513,15.55%,0.235893891629,-4.272949815923,20.51349814941,135.532440470799,0.6102298439058939,11995477.02,300593583.19451547,587378721.0,492590761.0,Osmosis,252699060.0
2023-11-16,0.516,15.43%,-0.214124066513,11.967872269082,29.318859029304,171.80808043063,0.6832613721723675,12409744.31,336568239.2802907,587378721.0,492590761.0,Osmosis,254176833.0
2023-11-17,0.517,15.41%,-1.200945066816,-1.819029615342,27.188921996575,178.679544294213,0.6708326454623614,11001734.79,330445963.3319478,587378721.0,492590761.0,Osmosis,254669423.0
2023-11-18,0.517,15.40%,0.823696841424,-1.410431756296,20.490863069977,182.582107380072,0.6613710087991593,10735114.73,325785248.52771556,587378721.0,492590761.0,Osmosis,254669423.0
2023-11-19,0.517,15.40%,0.633458490477,3.564753288255,8.216182800316,203.66452868344,0.684947253582893,21107372.88,337398688.8872572,587378721.0,492590761.0,Osmosis,254669423.0
2023-11-20,0.518,15.36%,1.017385126752,-2.055386537973,7.678146703543,190.226286478903,0.6708689399405363,9087089.58,330463841.6565721,587378721.0,492590761.0,Osmosis,255162014.0
2023-11-21,0.518,15.35%,-0.610289590212,-3.649886442759,1.398410950435,170.651157875008,0.6463829854529657,9740942.74,318402286.7017283,587378721.0,492590761.0,Osmosis,255162014.0
2023-11-22,0.519,15.31%,-0.838968331482,-7.934469742383,-2.480036170754,147.344901461973,0.5950959230522891,8848820.9,293138753.6043245,587378721.0,492590761.0,Osmosis,255654605.0
2023-11-23,0.519,15.31%,-0.115108188293,6.581216171782,-7.171618649939,151.817631858575,0.6342604721778217,7538488.51,312430848.6622925,587378721.0,492590761.0,Osmosis,255654605.0
2023-11-24,0.525,15.12%,-0.059128199554,-0.167864566155,-5.610471125554,147.664570529059,0.6331957735879067,5426163.84,311906387.97365063,587378721.0,492590761.0,Osmosis,258610150.0
2023-11-25,,,-0.373720599178,2.431345942258,-1.932357979643,141.62657523233,0.648590953335586,5636729.35,319489911.2812918,587378721.0,492590761.0,Osmosis,
2023-11-26,0.526,15.11%,0.155208960777,2.827666244123,-2.630321196728,143.176772294662,0.6669309407854936,5236230.28,328524019.65597224,587378721.0,492590761.0,Osmosis,259102740.0
2023-11-27,0.526,15.09%,0.596007835303,2.104161437092,1.504810241162,146.040501008232,0.6809642444535373,7377308.82,335436695.38915795,587378721.0,492590761.0,Osmosis,259102740.0
2023-11-28,0.525,15.13%,0.923438193666,-5.587092761596,-0.536035924263,123.854789523898,0.6429181404426151,7618803.47,316695536.06133264,587378721.0,492590761.0,Osmosis,258610150.0
2023-11-29,0.53,14.97%,-0.261144524,0.374499108026,8.440645977541,112.358177744982,0.6453258631439113,7900489.69,317881558.0190411,587378721.0,492590761.0,Osmosis,261073103.0
2023-11-30,0.528,15.02%,-0.006203959407,8.339837529517,10.229948472976,90.291804584123,0.6991449916660655,13232785.17,344392363.49412584,587378721.0,492590761.0,Osmosis,260087922.0
2023-12-01,0.531,14.92%,-0.028747166046,-1.155228862542,9.139747256286,91.766303191788,0.6910682669313247,11531733.07,340413843.51065236,587378721.0,492590761.0,Osmosis,261565694.0
2023-12-02,0.532,14.91%,-0.024029097388,0.387002826113,6.961516667312,94.845593497158,0.693742720654721,7532989.35,341731254.70551944,587378721.0,492590761.0,Osmosis,262058285.0
2023-12-03,0.532,14.91%,-0.282881255533,2.33501909985,6.449064253891,45.999548710761,0.7099417456858287,6371385.24,349710744.77305084,587378721.0,492590761.0,Osmosis,262058285.0
2023-12-04,0.532,14.90%,-5.4492025e-05,2.618505761785,6.985295797221,66.589419361685,0.728531611201928,6566481.64,358867940.77451384,587378721.0,492590761.0,Osmosis,262058285.0
2023-12-05,0.532,14.90%,-0.395627167273,0.335190052192,13.696212738143,62.548951135294,0.730973576689751,14869717.51,360070830.4124963,587378721.0,492590761.0,Osmosis,262058285.0
2023-12-06,0.532,14.88%,1.042616779435,4.975966918237,18.90838781953,59.002440472111,0.7673465800468904,10713874.88,377987835.81604517,587378721.0,492590761.0,Osmosis,262058285.0
2023-12-07,0.532,14.87%,-0.824739112729,-3.917982774018,5.4548172428,37.017746797986,0.737282073223638,14566568.65,363178337.5208896,587378721.0,492590761.0,Osmosis,262058285.0
