"Time","{instance=""localhost:8000"", job=""osmo_price"", v=""osmo_apr""}"
2024-06-16 00:00:00,13.67%
2024-06-17 00:00:00,13.68%
2024-06-18 00:00:00,13.82%
2024-06-19 00:00:00,13.72%
2024-06-20 00:00:00,13.69%
2024-06-21 00:00:00,13.68%
2024-06-22 00:00:00,13.66%
2024-06-23 00:00:00,13.81%
2024-06-24 00:00:00,13.62%
2024-06-25 00:00:00,13.63%
2024-06-26 00:00:00,13.62%
2024-06-27 00:00:00,13.61%
2024-06-28 00:00:00,13.62%
2024-06-29 00:00:00,13.61%
2024-06-30 00:00:00,13.61%
2024-07-01 00:00:00,13.62%
2024-07-02 00:00:00,13.62%
2024-07-03 00:00:00,13.61%
2024-07-04 00:00:00,13.61%
2024-07-05 00:00:00,13.60%
2024-07-06 00:00:00,13.59%
2024-07-07 00:00:00,13.61%
2024-07-08 00:00:00,13.61%
2024-07-09 00:00:00,13.61%
2024-07-10 00:00:00,13.64%
2024-07-11 00:00:00,13.63%
2024-07-12 00:00:00,13.62%
2024-07-13 00:00:00,13.67%
2024-07-14 00:00:00,14.02%
2024-07-15 00:00:00,14.03%
2024-07-16 00:00:00,14.03%
2024-07-17 00:00:00,14.03%
2024-07-18 00:00:00,14.08%
2024-07-19 00:00:00,14.09%
2024-07-20 00:00:00,14.09%
2024-07-21 00:00:00,14.10%
2024-07-22 00:00:00,14.11%
2024-07-23 00:00:00,14.11%
2024-07-24 00:00:00,14.11%
2024-07-25 00:00:00,14.12%
2024-07-26 00:00:00,14.12%
2024-07-27 00:00:00,14.11%
2024-07-28 00:00:00,14.11%
2024-07-29 00:00:00,14.11%
2024-07-30 00:00:00,14.10%
2024-07-31 00:00:00,14.11%
2024-08-01 00:00:00,14.16%
2024-08-02 00:00:00,14.09%
2024-08-03 00:00:00,14.09%
2024-08-04 00:00:00,14.08%
2024-08-05 00:00:00,14.08%
2024-08-06 00:00:00,14.02%
2024-08-07 00:00:00,14.02%
2024-08-08 00:00:00,14.00%
2024-08-09 00:00:00,14.00%
2024-08-10 00:00:00,13.99%
2024-08-11 00:00:00,13.97%
2024-08-12 00:00:00,13.98%
2024-08-13 00:00:00,13.96%
2024-08-14 00:00:00,13.95%
2024-08-15 00:00:00,13.96%
2024-08-16 00:00:00,13.96%
