date,bonded_percentage,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circ_supply,token,bonded_tokens,has_liquid_staking,chain,inflation
2023-09-20,0.6823999999999999,0.204,-0.366513571381,1.777599159347,17.688438877389,-4.505214312357,7.51012999669135,76646700.84,2743431622.3447986,365297488.0,365297488.0,Cosmos,249262043.0,True,Atom,0.142
2023-09-21,0.6828,0.204,-0.046410305968,-3.10571383465,11.205060989143,-3.57189745565,7.276886850383873,69793161.27,2659450465.406698,365465414.0,365465414.0,Cosmos,249518013.0,True,Atom,0.142
2023-09-22,0.6831,0.204,-0.542883910985,-1.341931601434,5.023751647393,-2.862483378447,7.179236006137953,72484701.59,2624974587.035718,365634252.0,365634252.0,Cosmos,249745361.0,True,Atom,0.142
2023-09-23,0.6764,0.20600000000000002,0.235532925574,-0.628514046397,3.002786597921,-3.929763356235,7.134113499415381,55502025.36,2609662363.6181445,365800511.0,365800511.0,Cosmos,247433310.0,True,Atom,0.142
2023-09-24,0.6758,0.20600000000000002,0.101745625307,-0.717515299882,-0.908427964928,-1.704116612958,7.082925143546105,43247858.08,2592122270.280022,365967763.0,365967763.0,Cosmos,247328451.0,True,Atom,0.142
2023-09-25,0.6758,0.20600000000000002,-1.423314800384,-1.479514020689,0.465862682231,-3.674346017855,6.978132272972432,37563650.38,2554947768.5932136,366136334.0,366136334.0,Cosmos,247422411.0,True,Atom,0.142
2023-09-26,0.6765000000000001,0.20600000000000002,0.102397543107,0.862921493056,-4.616009369217,-1.631107608914,7.0383480761698,63371494.28,2578162926.6195674,366302277.0,366302277.0,Cosmos,247782572.0,True,Atom,0.142
2023-09-27,0.6748000000000001,0.20600000000000002,0.172753687934,-1.177990282807,-7.385930432274,-3.115102068306,6.955437019762385,48931639.38,2548954539.2417545,366469358.0,366469358.0,Cosmos,247286971.0,True,Atom,0.142
2023-09-28,0.6747,0.20600000000000002,0.060350903668,0.17092498886,-4.254034136232,-4.097474095963,6.967325599713591,57456257.73,2554470869.699611,366635782.0,366635782.0,Cosmos,247377551.0,True,Atom,0.142
2023-09-29,0.6751999999999999,0.20600000000000002,-0.022314612083,2.021511025188,-0.989870665969,-4.419185636511,7.108170854872516,56884466.6,2607287994.825843,366801537.0,366801537.0,Cosmos,247666062.0,True,Atom,0.142
2023-09-30,0.6753,0.20600000000000002,-0.215021231429,0.025651197625,-0.338084242581,-1.592992485526,7.109994185826003,48941769.62,2609140744.543871,366968056.0,366968056.0,Cosmos,247820325.0,True,Atom,0.142
2023-10-01,0.6762,0.20600000000000002,-0.406051538415,1.840391961789,2.229598655344,4.625135148117,7.240845947305632,44878539.42,2658360381.216655,367133951.0,367133951.0,Cosmos,248246174.0,True,Atom,0.142
2023-10-02,0.6761,0.20600000000000002,-0.599701802796,4.467798125761,8.400816019591,13.507098525425,7.564352326828582,64557770.97,2778387729.1682825,367300148.0,367300148.0,Cosmos,248330030.0,True,Atom,0.142
