NEG_ONE,ONE,crv_cumm,crv_daily_release,crv_daily_release_avg,curve_price,cvxcrv_cumm,cvxcrv_depeg,cvxcrv_depeg_diff,cvxcrv_price,market_cap,other_cumm,sdcrv_cumm,sdcrv_depeg,sdcrv_depeg_diff,sdcrv_price,time,total_crv,ycrv_cumm,ycrv_depeg,ycrv_depeg_diff,ycrv_price
-1,1,749714508.965393,518040.7817271728,517712.4596142788,0.9706978333333331,289647369.5066908,0.8410741799191183,0.0065396229247076665,0.8164288841200981,1341388373.8973148,287960120.0637622,24473511.466851387,,,,2023-02-10 00:00:00.000 UTC,1381880465.614152,30084955.61145447,0.9896339967948281,0.0013422408109958761,0.9606355764817464
-1,1,749216089.659663,671720.3520579609,541150.8448959916,1.0565530381944443,289645548.1432338,0.8345345569944106,-0.0075495592528441735,0.8817300216706991,1459482666.804343,287949024.2059165,24473422.62319025,,,,2023-02-09 00:00:00.000 UTC,1381362424.8324246,30078340.200421166,0.9882917559838322,-0.0018374218274784804,1.0441826574072404
-1,1,748643925.2266269,507676.36989697546,2591048.431823925,1.1239285902777776,289632974.13128644,0.8420841162472548,-0.007383489903206364,0.9464424136690852,1551797757.09625,287995809.23906463,24341645.794248622,,,,2023-02-08 00:00:00.000 UTC,1380690704.4803667,30076350.08914011,0.9901291778113107,0.00022271146503405337,1.1128344910103614
-1,1,748209761.0956578,474417.9407337646,2587552.206237743,1.063182138888889,289623733.09441555,0.8494676061504611,-0.014745866039225008,0.9031387864238716,1467385943.8846328,288051059.967772,24339325.35221817,,,,2023-02-07 00:00:00.000 UTC,1380183028.1104698,29959148.600406196,0.9899064663462767,0.00048611110565999205,1.0524508741899763
-1,1,747945959.268728,456367.7037783679,2590461.9978338177,1.0585534895833333,289406765.1824185,0.8642134721896861,-0.004602696395369699,0.9148161867313213,1460495363.9033449,288057412.2793626,24339324.83882056,,,,2023-02-06 00:00:00.000 UTC,1379708610.169736,29959148.600406196,0.9894203552406167,0.0003917051658979265,1.047354369704736
-1,1,747500102.9216385,508463.10845717834,2591749.561762161,1.0678514097222227,289399395.62340504,0.8688161685850558,-0.00340777336625131,0.9277665704130121,1472836451.4798098,288054270.48168725,24339324.83882056,,,,2023-02-05 00:00:00.000 UTC,1379252242.4659576,29959148.600406196,0.9890286500747187,0.0017105699342538916,1.0561356382379552
-1,1,747242619.5021056,475527.74994081614,2589987.571328543,1.1119942569444448,289148373.4727003,0.8722239419513071,0.012251037212703486,0.9699080142192983,1533155164.443419,288062142.8329023,24339298.597494762,,,,2023-02-04 00:00:00.000 UTC,1378743779.3575003,29951344.952297352,0.9873180801404648,-0.0031935638443516545,1.0978920348936119
-1,1,746783623.8497196,529485.6703219814,2593646.763219308,1.092788104166666,289131772.64719933,0.8599729047386037,0.0038699122387457763,0.9397681602039996,1506155149.7073307,288063246.9029157,24338263.255427524,,,,2023-02-03 00:00:00.000 UTC,1378268251.6075597,29951344.952297352,0.9905116439848165,0.002226715016612979,1.0824193415851753
-1,1,746310032.505308,705547.8639808756,2638286.2946310677,1.0975929618055555,289102022.9008373,0.8561029924998579,-0.022652093865073275,0.9396526191485183,1512196372.6993837,288042827.1990024,24333016.117614042,,,,2023-02-02 00:00:00.000 UTC,1377738765.9372377,29950867.214475855,0.9882849289682035,-0.0034614145743725455,1.0847345822940035
-1,1,744893220.8742179,17070901.04748143,2611536.45239862,1.020887614583333,289098868.8027399,0.8787550863649312,-0.0024136604777194037,0.8971101839220653,1405796157.2008176,288766601.11490226,24326054.489596143,,,,2023-02-01 00:00:00.000 UTC,1377033218.0732567,29948472.791800573,0.9917463435425761,0.0011015491027646096,1.0124615589309232
