index,date,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,token,total_tokens,percentage_bonded
287,2023-09-28,-0.141719190151,-0.294104633255,-6.764663205753,-12.710612711817,1.8711691572450286,18801125.51,343856378.80260193,1000000000.0,183765523.0,dYdX (ethDYDX),,
288,2023-09-29,0.080139326994,3.20877671413,-1.707927276968,-11.250529777888,1.9312107974446848,18439906.42,354889962.2156696,1000000000.0,183765523.0,dYdX (ethDYDX),,
289,2023-09-30,-0.004362838271,0.867986782897,1.543257164973,-8.615982695953,1.947973451916387,16186869.7,357970360.1815302,1000000000.0,183765523.0,dYdX (ethDYDX),,
290,2023-10-01,0.233300324426,1.219424050431,3.566787182383,-10.794522965991,1.9717275086850656,11938609.08,362335536.84699816,1000000000.0,183765523.0,dYdX (ethDYDX),,
291,2023-10-02,-0.982322604959,1.726198073869,7.179115356424,-6.173494611305,2.0057634309619248,28189222.94,368590165.9049925,1000000000.0,183765523.0,dYdX (ethDYDX),,
292,2023-10-03,0.220691562965,2.28567872794,7.227821450372,1.209900461044,2.051608739036211,60520803.14,377014952.92035985,1000000000.0,183765523.0,dYdX (ethDYDX),,
293,2023-10-04,-0.152499236757,-1.529701521144,7.648400738584,-0.890465323715,2.0202252489472534,47572074.68,371247749.4505972,1000000000.0,183765523.0,dYdX (ethDYDX),,
294,2023-10-05,-0.09778357592,-2.124114206116,5.672613819163,-4.750711704388,1.977313357438821,27979602.44,363362023.2646309,1000000000.0,183765523.0,dYdX (ethDYDX),,
295,2023-10-06,-1.060237226475,-2.791864946247,-0.47127732103,-9.060131387494,1.9221094389350362,22440272.72,353217446.30913347,1000000000.0,183765523.0,dYdX (ethDYDX),,
296,2023-10-07,-0.331342445121,3.739242943485,2.361856037351,-2.592457248956,1.9939817804964746,17094315.88,366425104.74540585,1000000000.0,183765523.0,dYdX (ethDYDX),,
297,2023-10-08,0.004539284041,3.252463349711,4.41784161545,-0.314948212065,2.058835307107036,29805881.0,378342946.98139006,1000000000.0,183765523.0,dYdX (ethDYDX),,
298,2023-10-09,0.405398165388,-2.320133411262,0.264445458531,1.64549236453,2.011067581263984,29011117.12,369564885.85932106,1000000000.0,183765523.0,dYdX (ethDYDX),,
299,2023-10-10,0.824835421344,0.85067776624,-1.142198926554,1.874825399414,2.028175286041856,72804883.59,372708692.1751563,1000000000.0,183765523.0,dYdX (ethDYDX),,
300,2023-10-11,-0.292425342436,-6.087428352348,-5.71786142973,-1.290057154986,1.9047115686440297,54133662.54,350020317.57602054,1000000000.0,183765523.0,dYdX (ethDYDX),,
301,2023-10-12,0.11206359521,-2.373475922611,-5.958067234439,-0.256666126382,1.8595036981670707,40498965.82,341712669.6141059,1000000000.0,183765523.0,dYdX (ethDYDX),,
302,2023-10-13,-0.412395783506,-1.903362852841,-5.098504872875,-3.523503813657,1.8241105955289458,35653939.78,335208637.5972182,1000000000.0,183765523.0,dYdX (ethDYDX),,
303,2023-10-14,-0.288768372461,1.132670387379,-7.483018444721,-4.584962674674,1.8447717560775434,33594896.8,339005446.5712182,1000000000.0,183765523.0,dYdX (ethDYDX),,
304,2023-10-15,0.037597601868,-0.719046895723,-11.04159833912,-5.330390467792,1.8315069820322876,19512094.26,336567838.43131495,1000000000.0,183765523.0,dYdX (ethDYDX),,
305,2023-10-16,-0.037317867518,0.540716618064,-8.436182761805,-6.406012982387,1.8414102446451441,19385408.81,338387716.66477287,1000000000.0,183765523.0,dYdX (ethDYDX),,
306,2023-10-17,-0.112364584238,2.180183272787,-7.229105110817,-6.050078749196,1.8815563627822847,49369665.42,345765189.0606643,1000000000.0,183765523.0,dYdX (ethDYDX),,
307,2023-10-18,0.80192157846,-3.125352242123,-4.303038380301,-5.24413868483,1.8227510988112523,43914780.17,334958808.9718745,1000000000.0,183765523.0,dYdX (ethDYDX),,
308,2023-10-19,-0.628571703236,2.26453818214,0.243306600928,-3.960352640453,1.864027993409215,23823247.58,342544079.095485,1000000000.0,183765523.0,dYdX (ethDYDX),,
309,2023-10-20,-0.440294555891,-0.196104116178,1.987925641535,-6.098790549929,1.8603725577874253,23405677.45,341872336.0566539,1000000000.0,183765523.0,dYdX (ethDYDX),,
310,2023-10-21,-0.241890577322,1.210708798851,2.066624005535,-6.180333548427,1.8828962520359651,24032462.03,346011414.5101289,1000000000.0,183765523.0,dYdX (ethDYDX),,
311,2023-10-22,-0.238929425,3.484358003065,6.387969983117,-0.827807875286,1.9485030982831992,23019082.36,358067690.9231325,1000000000.0,183765523.0,dYdX (ethDYDX),,
312,2023-10-23,0.184436854965,1.520796045339,7.425048931799,3.115552098775,1.978135856345204,22435974.54,363513170.2063293,1000000000.0,183765523.0,dYdX (ethDYDX),,
313,2023-10-24,-2.019932725012,5.51194840665,10.927832163054,9.630492824598,2.087169684160389,125344956.69,383549828.5994787,1000000000.0,183765523.0,dYdX (ethDYDX),,
314,2023-10-25,-1.181617263745,8.402628199073,24.128126658638,20.900481054005,2.2625467926041445,225626090.81,415778094.65487313,1000000000.0,183765523.0,dYdX (ethDYDX),,
315,2023-10-26,1.660563878613,4.731105681652,27.122032546583,23.847202349675,2.369590272459079,147756403.43,435448995.71415514,1000000000.0,183765523.0,dYdX (ethDYDX),,
316,2023-10-27,0.039727269671,-2.098480880947,24.698940753771,23.614801719033,2.3198648736347556,142134029.39,426311181.7928198,1000000000.0,183765523.0,dYdX (ethDYDX),,
317,2023-10-28,0.469936424397,0.841332439997,24.24384226434,25.022510141471,2.3393826493807395,161031685.9,429897876.0605772,1000000000.0,183765523.0,dYdX (ethDYDX),42923.596182713394,0.00023357806993378946
318,2023-10-29,0.969081784322,3.584308122212,24.363842881604,25.477412144674,2.423233331692113,65275807.32,445306740.54943365,1000000000.0,183765523.0,dYdX (ethDYDX),72873.60470094171,0.0003965575452417247
319,2023-10-30,-0.844474296521,2.312798383332,25.334052515107,27.274723922586,2.4792778330118574,69315900.82,455605787.6457307,1000000000.0,183765523.0,dYdX (ethDYDX),102835.38533864959,0.0005596010810942463
320,2023-10-31,-0.00931406207,-1.381070474025,17.146069983987,24.004825622262,2.445037258891087,91494382.68,449313550.634607,1000000000.0,183765523.0,dYdX (ethDYDX),228499.92846233025,0.001243431981864902
321,2023-11-01,0.355113510154,-5.357506886697,2.276082286027,15.369748178822,2.314044219363682,102770670.94,425241546.2164937,1000000000.0,183765523.0,dYdX (ethDYDX),438204.4193668879,0.002384584508634342
322,2023-11-02,0.341186488286,2.612146470983,0.206794034169,15.737976671529,2.3744904437767818,114553298.49,436349478.2591424,1000000000.0,183765523.0,dYdX (ethDYDX),933431.4690299475,0.005079470043082823
323,2023-11-03,-0.140566315042,-6.54970995208,-4.349247575232,9.837663301449,2.218968206869541,112951685.09,407769853.05575335,1000000000.0,183765523.0,dYdX (ethDYDX),1097405.4303422857,0.005971769962215849
324,2023-11-04,-0.518609712337,3.67814861896,-1.65845010714,16.349042334169,2.300585155325677,81941922.28,422768234.2744593,1000000000.0,183765523.0,dYdX (ethDYDX),1178593.4767016177,0.006413572347309227
325,2023-11-05,-0.535259646676,2.562708873178,-2.628342703235,22.757966192787,2.359542455236235,54109535.4,433602553.3271909,1000000000.0,183765523.0,dYdX (ethDYDX),1759337.2196995663,0.009573815539379311
326,2023-11-06,0.457960493472,0.664417308607,-4.19711610831,19.119426613886,2.3752196637127527,63549106.88,436483483.7420581,1000000000.0,183765523.0,dYdX (ethDYDX),1843681.1902635877,0.010032791571374287
327,2023-11-07,0.369089867327,4.517389763669,1.532914667807,20.578736195965,2.4825175936659694,81137882.43,456201143.95672834,1000000000.0,183765523.0,dYdX (ethDYDX),3486897.2570674084,0.018974708640354745
328,2023-11-08,0.441274843725,-1.872413876591,5.271738948152,21.131413605815,2.436034589753345,105317979.57,447659170.4321139,1000000000.0,183765523.0,dYdX (ethDYDX),3994182.503134771,0.021735211469100058
329,2023-11-09,0.06997535178,3.22011749323,5.895467901723,23.977339780445,2.5144777657191226,145560163.14,462074321.68924606,1000000000.0,183765523.0,dYdX (ethDYDX),4180290.955271693,0.022747961026790064
