CRV,date,veCRV,veCRV_Percent
101317064.87522058,2020-10-24,27272620.903626386,21.20902678814441
101317064.87522058,2020-10-24,27272620.903626386,21.20902678814441
102061392.44353735,2020-10-25,28733960.23651391,21.968640053138802
102061392.44353735,2020-10-25,28733960.23651391,21.968640053138802
102061392.44353735,2020-10-25,28733960.23651391,21.968640053138802
102061392.44353735,2020-10-25,28733960.23651391,21.968640053138802
102624758.5801625,2020-10-26,30009791.548915505,22.62592327542892
102624758.5801625,2020-10-26,30009791.548915505,22.62592327542892
102624758.5801625,2020-10-26,30009791.548915505,22.62592327542892
102624758.5801625,2020-10-26,30009791.548915505,22.62592327542892
102860337.2125017,2020-10-27,32132880.974292327,23.80332983085796
102860337.2125017,2020-10-27,32132880.974292327,23.80332983085796
102860337.2125017,2020-10-27,32132880.974292327,23.80332983085796
102860337.2125017,2020-10-27,32132880.974292327,23.80332983085796
103697801.27493137,2020-10-28,33399910.72684092,24.362121175595654
103697801.27493137,2020-10-28,33399910.72684092,24.362121175595654
103697801.27493137,2020-10-28,33399910.72684092,24.362121175595654
103697801.27493137,2020-10-28,33399910.72684092,24.362121175595654
104299192.56602128,2020-10-29,33726641.89868868,24.43502118968301
104299192.56602128,2020-10-29,33726641.89868868,24.43502118968301
104299192.56602128,2020-10-29,33726641.89868868,24.43502118968301
104299192.56602128,2020-10-29,33726641.89868868,24.43502118968301
104270372.32653736,2020-10-30,34545084.47572152,24.885618123153687
104270372.32653736,2020-10-30,34545084.47572152,24.885618123153687
104270372.32653736,2020-10-30,34545084.47572152,24.885618123153687
104270372.32653736,2020-10-30,34545084.47572152,24.885618123153687
104488334.33824188,2020-10-31,35128343.32910172,25.160563849542346
104488334.33824188,2020-10-31,35128343.32910172,25.160563849542346
104488334.33824188,2020-10-31,35128343.32910172,25.160563849542346
104488334.33824188,2020-10-31,35128343.32910172,25.160563849542346
105159570.29977247,2020-11-01,35615860.84421011,25.29977038946721
105159570.29977247,2020-11-01,35615860.84421011,25.29977038946721
105159570.29977247,2020-11-01,35615860.84421011,25.29977038946721
105159570.29977247,2020-11-01,35615860.84421011,25.29977038946721
106577660.32211861,2020-11-02,35949513.46812865,25.222918908807102
106577660.32211861,2020-11-02,35949513.46812865,25.222918908807102
106577660.32211861,2020-11-02,35949513.46812865,25.222918908807102
106577660.32211861,2020-11-02,35949513.46812865,25.222918908807102
109493654.63044204,2020-11-03,36669848.7454723,25.08823878636926
109493654.63044204,2020-11-03,36669848.7454723,25.08823878636926
109493654.63044204,2020-11-03,36669848.7454723,25.08823878636926
107289759.74779515,2020-11-04,40916688.58095256,27.607900359498664
107289759.74779515,2020-11-04,40916688.58095256,27.607900359498664
107289759.74779515,2020-11-04,40916688.58095256,27.607900359498664
107289759.74779515,2020-11-04,40916688.58095256,27.607900359498664
108059847.03943864,2020-11-05,41162438.50610396,27.584645521021173
108059847.03943864,2020-11-05,41162438.50610396,27.584645521021173
108059847.03943864,2020-11-05,41162438.50610396,27.584645521021173
108059847.03943864,2020-11-05,41162438.50610396,27.584645521021173
110455113.97731641,2020-11-06,41656369.25808311,27.385420464027643
110455113.97731641,2020-11-06,41656369.25808311,27.385420464027643
110455113.97731641,2020-11-06,41656369.25808311,27.385420464027643
110455113.97731641,2020-11-06,41656369.25808311,27.385420464027643
111235192.94298615,2020-11-07,42533489.79258564,27.660697247259574
